model,threshold,accuracy,precision,recall,f1,roc_auc
Random Forest,0.13,0.6281505147319844,0.4106611078022632,0.9224080267558529,0.5683082629301462,0.8360981802109148
Random Forest,0.14,0.6388001419950302,0.41743119266055045,0.9130434782608695,0.5729275970619098,0.8360981802109148
Random Forest,0.15,0.6492722754703585,0.42429965376141016,0.9016722408026756,0.577054794520548,0.8360981802109148
Random Forest,0.16,0.6629392971246006,0.4342875731945348,0.8929765886287625,0.5843729481286933,0.8360981802109148
Random Forest,0.17,0.6728789492367767,0.44184491978609625,0.8842809364548495,0.5892578560285269,0.8360981802109148
Random Forest,0.18,0.6813986510472133,0.4484536082474227,0.8729096989966555,0.5925085130533485,0.8360981802109148
Random Forest,0.19,0.691160809371672,0.45691171297924726,0.8688963210702341,0.598893499308437,0.8360981802109148
Random Forest,0.2,0.7002129925452609,0.46498194945848376,0.8615384615384616,0.6039859320046893,0.8360981802109148
Random Forest,0.21,0.7085552005679802,0.47276769173768063,0.8535117056856187,0.6084883166428231,0.8360981802109148
Random Forest,0.22,0.7129925452609158,0.4768413059984814,0.8401337792642141,0.60837975296682,0.8360981802109148
Random Forest,0.23,0.7209797657082002,0.4849550605705354,0.8301003344481606,0.6122348297977306,0.8360981802109148
Random Forest,0.24,0.72790202342918,0.49236334405144694,0.8193979933110368,0.6151142355008787,0.8360981802109148
Random Forest,0.25,0.7348242811501597,0.5002066969822241,0.8093645484949833,0.6182933060807358,0.8360981802109148
Random Forest,0.26,0.7397941072062478,0.5061466723187792,0.7986622073578595,0.6196159833938765,0.8360981802109148
Random Forest,0.27,0.7458288959886404,0.5137016093953893,0.7899665551839465,0.6225619399051133,0.8360981802109148
Random Forest,0.28,0.7490237841675541,0.5180722891566265,0.7765886287625418,0.6215203426124197,0.8360981802109148
Random Forest,0.29,0.7536386226482074,0.5246430216490097,0.7618729096989967,0.6213857064920895,0.8360981802109148
Random Forest,0.3,0.7586084487042953,0.5317946302402261,0.7551839464882943,0.6241017136539525,0.8360981802109148
Random Forest,0.31,0.7610933617323393,0.5359036144578313,0.7438127090301003,0.62296918767507,0.8360981802109148
Random Forest,0.32,0.7655307064252751,0.543026706231454,0.7344481605351171,0.6243957918680694,0.8360981802109148
Random Forest,0.33,0.7701455449059283,0.5510725229826353,0.7217391304347827,0.6249637995945555,0.8360981802109148
Random Forest,0.34,0.7722754703585375,0.555613850996852,0.7083612040133779,0.622758012349309,0.8360981802109148
Random Forest,0.35,0.7765353212637558,0.5636461704422869,0.6989966555183946,0.6240668856375038,0.8360981802109148
Random Forest,0.36,0.7781327653532126,0.5679423183582918,0.6849498327759197,0.6209824135839903,0.8360981802109148
Random Forest,0.37,0.7829250976215832,0.5783410138248848,0.671571906354515,0.6214794181367997,0.8360981802109148
Random Forest,0.38,0.7841675541356052,0.5823008849557522,0.6602006688963211,0.618808777429467,0.8360981802109148
Random Forest,0.39,0.7859424920127795,0.5875227135069655,0.6488294314381271,0.6166560712015258,0.8360981802109148
Random Forest,0.4,0.787362442314519,0.5927545284197376,0.6347826086956522,0.6130490956072352,0.8360981802109148
Random Forest,0.41,0.788604898828541,0.5976863753213367,0.6220735785953178,0.6096361848574238,0.8360981802109148
Random Forest,0.42,0.7925097621583245,0.6082337317397079,0.6127090301003344,0.6104631789403532,0.8360981802109148
Random Forest,0.43,0.7944621938232161,0.6156485929993136,0.6,0.6077235772357723,0.8360981802109148
Random Forest,0.44,0.7958821441249556,0.6233023588277341,0.5832775919732441,0.6026261230131306,0.8360981802109148
Random Forest,0.45,0.7969471068512602,0.6299037749814952,0.5692307692307692,0.5980323260716796,0.8360981802109148
Random Forest,0.46,0.7980120695775648,0.635948210205636,0.5585284280936454,0.5947293447293447,0.8360981802109148
Random Forest,0.47,0.7992545260915868,0.6428571428571429,0.5478260869565217,0.5915492957746479,0.8360981802109148
Random Forest,0.48,0.8019169329073482,0.6552006552006552,0.5351170568561873,0.5891016200294551,0.8360981802109148
Random Forest,0.49,0.8022719204827831,0.6618521665250637,0.5210702341137123,0.5830838323353293,0.8360981802109148
Random Forest,0.5,0.8010294639687611,0.6654867256637168,0.5030100334448161,0.572952380952381,0.8360981802109148
Random Forest,0.51,0.7999645012424565,0.6691176470588235,0.48695652173913045,0.5636856368563685,0.8360981802109148
Random Forest,0.52,0.7973020944266951,0.6702025072324012,0.46488294314381273,0.5489731437598736,0.8360981802109148
